course_link,canale,date_year,year,language,course_id,course_name,semester,professors,faculty
/cattedreonline/corso/M379/0/LMPAGEEG/2024,0,2024,2,Inglese,M379,"Social And Labor Market Regulation",Primo Semestre,"Edoardo Ales / Marco Leonardi","Policies and governance in europe"
/cattedreonline/corso/M379/0/LMGAPBASE/2024,0,2024,2,Inglese,M379,"Social And Labor Market Regulation",Primo Semestre,"Edoardo Ales / Marco Leonardi","Governo, amministrazione e politica"
/cattedreonline/corso/EH05/0/L22PPEBASE/2024,0,2024,3,Inglese,EH05,"Social Phenomena Through The Lens Of Anglo-american Literature. Authors, Topics And Perspectives",II Semestre,"Orsetta Lopane","Politics: philosophy and economics"
/cattedreonline/corso/T077/0/L22PSBASE/2024,0,2024,3,Italiano,T077,"Sociologia Del Diritto, Della Devianza E Del Crimine Organizzato",II Semestre,"Valentina Punzo","Scienze politiche"
/cattedreonline/corso/556/A/L22PSBASE/2024,A,2024,2,Italiano,556,"Sociologia Della Comunicazione",II Semestre,"Mattia Zunino","Scienze politiche"
/cattedreonline/corso/556/B/L22PSBASE/2024,B,2024,2,Italiano,556,"Sociologia Della Comunicazione",II Semestre,"Emiliana De Blasio","Scienze politiche"
/cattedreonline/corso/CL02/0/L22PPEBASE/2024,0,2024,3,Italiano,CL02,"Sociologia Delle Mafie",I Semestre,"Michele Prestipino Giarritta","Politics: philosophy and economics"
/cattedreonline/corso/CL02/0/L22PSBASE/2024,0,2024,3,Italiano,CL02,"Sociologia Delle Mafie",I Semestre,"Michele Prestipino Giarritta","Scienze politiche"
/cattedreonline/corso/CL02/0/1EEL2BASE/2024,0,2024,3,Italiano,CL02,"Sociologia Delle Mafie",I Semestre,"Michele Prestipino Giarritta","Economia e management"
/cattedreonline/corso/365/0/1EEL2BASE/2024,0,2024,3,Italiano,365,"Sociologia Economica",II Semestre,"Rosamaria Bitetti","Economia e management"
/cattedreonline/corso/365/0/L22PSBASE/2024,0,2024,3,Italiano,365,"Sociologia Economica",II Semestre,"Rosamaria Bitetti","Scienze politiche"
/cattedreonline/corso/T014/A/L22PSBASE/2024,A,2024,1,Italiano,T014,"Sociologia Generale E Politica",I Semestre,"Alessandro Orsini","Scienze politiche"
/cattedreonline/corso/T014/B/L22PSBASE/2024,B,2024,1,Italiano,T014,"Sociologia Generale E Politica",I Semestre,"Raffaele De Mucci","Scienze politiche"
/cattedreonline/corso/AN6/A/L22PPEBASE/2024,A,2024,1,Inglese,AN6,"Sociology",I Semestre,"Kristina Stoeckl","Politics: philosophy and economics"
/cattedreonline/corso/AN6/B/L22PPEBASE/2024,B,2024,1,Inglese,AN6,"Sociology",I Semestre,"Valeria Fabretti","Politics: philosophy and economics"
/cattedreonline/corso/M359/0/LM20IRS/2024,0,2024,2,Inglese,M359,"Sociology Of Terrorism And Political Violence",Primo Semestre,"Alessandro Orsini","International relations"
/cattedreonline/corso/EM81/0/LM20IRBASE/2024,0,2024,2,Inglese,EM81,"South And South-eastern Europe: History And Politics",Primo Semestre,"Maria Elena Cavallaro / Benedetto Zaccaria","International relations"
/cattedreonline/corso/041/0/L22PPEBASE/2024,0,2024,1,Italiano,041,"Spagnolo",II Semestre,"Cristina Aragón Ramírez / Carmelo Fernández Loya / Maria Josefa Toro Rivera / Manuel Vazquez Lopez","Politics: philosophy and economics"
/cattedreonline/corso/041/0/L22PSBASE/2024,0,2024,1,Italiano,041,"Spagnolo",II Semestre,"Cristina Aragón Ramírez / Carmelo Fernández Loya / Maria Josefa Toro Rivera / Manuel Vazquez Lopez","Scienze politiche"
/cattedreonline/corso/SV8/0/LM20IRBASE/2024,0,2024,1,Italiano,SV8,"Spagnolo",Secondo Semestre,"Cristina Aragón Ramírez / Carmelo Fernández Loya / Maria Josefa Toro Rivera","International relations"
/cattedreonline/corso/T456/A/1EEL2BASE/2024,A,2024,1,Italiano,T456,"Statistica",II Semestre,"Paolo Perciballi","Economia e management"
/cattedreonline/corso/358/A/L22PSBASE/2024,A,2024,1,Italiano,358,"Statistica",I Semestre,"Livia De Giovanni","Scienze politiche"
/cattedreonline/corso/T456/B/1EEL2BASE/2024,B,2024,1,Italiano,T456,"Statistica",II Semestre,"Pier Luigi Conti","Economia e management"
/cattedreonline/corso/358/B/L22PSBASE/2024,B,2024,1,Italiano,358,"Statistica",I Semestre,"Pierpaolo D'urso","Scienze politiche"
