link,faculty
/cattedreonline/corso/180/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/180/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/180/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/180/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/819/A/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/819/B/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/819/C/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/819/D/3GSLMBASE/2024,"Giurisprudenza"
/cattedreonline/corso/ET44/0/3GSLMDS/2024,"Giurisprudenza"
/cattedreonline/corso/SGA/0/LM19ABASE/2024,"Amministrazione, finanza e controllo"
/cattedreonline/corso/A57/A/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A57/B/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A57/C/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A57/D/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A57/E/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A57/F/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/M517/0/3GSLMDL/2024,"Giurisprudenza"
